Date : 2025-11-09 10:18:39
Directory : e:\Code\java\account_book_app\accountbook
Total : 233 files,  11120 codes, 1827 comments, 1507 blanks, all 14454 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        219 |     10,906 |      1,812 |      1,465 |     14,183 |
| Markdown        |         11 |        166 |          0 |         36 |        202 |
| XML             |          1 |         40 |          7 |          6 |         53 |
| Java Properties |          2 |          8 |          8 |          0 |         16 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| target\classes\com\accountbook\backend\storage\dao\factory                                                                                  |          1 |         17 |          0 |          0 |         17 |
| target\classes\com\accountbook\backend\storage\dao\impl                                                                                     |          4 |        232 |          0 |          0 |        232 |
| target\classes\com\accountbook\backend\storage\db                                                                                           |          3 |        256 |          0 |         12 |        268 |
| target\classes\com\accountbook\backend\storage\entity                                                                                       |          4 |         71 |          0 |          1 |         72 |
| target\classes\com\accountbook\frontend                                                                                                     |         25 |      1,111 |         30 |          4 |      1,145 |
| target\classes\com\accountbook\frontend (Files)                                                                                             |          1 |         99 |          0 |          0 |         99 |
| target\classes\com\accountbook\frontend\component                                                                                           |         24 |      1,012 |         30 |          4 |      1,046 |
| target\classes\com\accountbook\frontend\component (Files)                                                                                   |          2 |          4 |          0 |          0 |          4 |
| target\classes\com\accountbook\frontend\component\dialog                                                                                    |          3 |        135 |          0 |          2 |        137 |
| target\classes\com\accountbook\frontend\component\page                                                                                      |         11 |        526 |          0 |          2 |        528 |
| target\classes\com\accountbook\frontend\component\panel                                                                                     |          8 |        347 |         30 |          0 |        377 |
| target\classes\com\accountbook\proxy                                                                                                        |         44 |      1,098 |         28 |         12 |      1,138 |
| target\classes\com\accountbook\proxy (Files)                                                                                                |          5 |         97 |          0 |          1 |         98 |
| target\classes\com\accountbook\proxy\common                                                                                                 |          2 |         24 |          0 |          1 |         25 |
| target\classes\com\accountbook\proxy\helper                                                                                                 |          7 |        328 |          7 |          0 |        335 |
| target\classes\com\accountbook\proxy\helper (Files)                                                                                         |          2 |         32 |          0 |          0 |         32 |
| target\classes\com\accountbook\proxy\helper\factory                                                                                         |          1 |         22 |          7 |          0 |         29 |
| target\classes\com\accountbook\proxy\helper\impl                                                                                            |          4 |        274 |          0 |          0 |        274 |
| target\classes\com\accountbook\proxy\request                                                                                                |         17 |        316 |         21 |          0 |        337 |
| target\classes\com\accountbook\proxy\request (Files)                                                                                        |          1 |          2 |          0 |          0 |          2 |
